# BSD 3-Clause Clear License
# Copyright © 2025 ZAMA. All rights reserved.

Name,Group,Kind,Path,Seed,Timeout,Enabled
tb_ntt_core_gf64_phi_rom,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_phi/simu/tb_ntt_core_gf64_phi_rom,-1,-1,true
tb_ntt_core_gf64_pp_core,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_post_process/simu/tb_ntt_core_gf64_pp_core,-1,-1,true
tb_ntt_core_gf64_network,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_network/simu,-1,-1,true
tb_ntt_core_gf64_without_pp,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/simu/tb_ntt_core_gf64_without_pp,-1,-1,true

#####################################################################
# HPU_MODULE
#####################################################################
tb_pep_ks_ctrl_blram,hpu_module,wip,hw/module/pep_key_switch/simu/tb_pep_ks_ctrl_blram,-1,-1,true
tb_pep_ks_mult_outp,hpu_module,wip,hw/module/pep_key_switch/simu/tb_pep_ks_mult_outp,-1,-1,true
tb_pep_mmacc_sample_extract,hpu_module,wip,hw/module/pep_mono_mult_acc/simu/tb_pep_mmacc_sample_extract,-1,-1,true
tb_pep_mmacc_body_ram,hpu_module,wip,hw/module/pep_mono_mult_acc/simu/tb_pep_mmacc_body_ram,-1,-1,true
tb_pep_ks_ctrl_blram,hpu_module,wip,hw/module/pep_key_switch/simu/tb_pep_ks_ctrl_blram,-1,-1,true
tb_pep_key_switch,hpu_module,wip,hw/module/pep_key_switch/simu/tb_pep_key_switch,-1,-1,true
tb_regfile,hpu_module,wip,hw/module/regfile/simu,-1,-1,true
tb_pem_load,hpu_module,wip,hw/module/pe_mem/simu/tb_pem_load,-1,-1,true
tb_pem_store,hpu_module,wip,hw/module/pe_mem/simu/tb_pem_store,-1,-1,true
tb_pe_alu,hpu_module,wip,hw/module/pe_alu/simu,-1,-1,true
tb_pep_sequencer,hpu_module,wip,hw/module/pe_pbs/module/pep_sequencer/simu/tb_pep_sequencer,-1,-1,true
tb_pep_load_blwe,hpu_module,wip,hw/module/pe_pbs/module/pep_load/simu/tb_pep_load_blwe,-1,-1,true
tb_pep_load_glwe,hpu_module,wip,hw/module/pe_pbs/module/pep_load/simu/tb_pep_load_glwe,-1,-1,true
tb_pep_mmacc_gram_arb,hpu_module,wip,hw/module/pep_mono_mult_acc/module/pep_mmacc_gram_arb/simu,-1,-1,true
tb_pep_mono_mult_acc,hpu_module,wip,hw/module/pep_mono_mult_acc/simu/tb_pep_mono_mult_acc,-1,-1,true
tb_trace_manager,hpu_module,wip,hw/module/trace_manager/simu,-1,-1,true
tb_ucore,hpu_module,wip,hw/module/ucore/simu/,-1,-1,true
tb_instruction_scheduler,hpu_module,wip,hw/module/instruction_scheduler/simu/,-1,-1,true
tb_fpga_clock_reset,hpu_module,wip,hw/module/fpga_clock_reset/simu/,-1,-1,true

#####################################################################
# HPU_TOP
#####################################################################
tb_hpu_top,hpu_top,wip,hw/module/hpu/simu,-1,-1,true




